"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003M","B19001_003MA","B19001_003EA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016M","B19001_016MA","B19001_016EA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330066002","Block Group 2, Census Tract 66, King County, Washington","1259","150","null","null","45","44","null","null","0","12","null","null","36","37","null","null","0","12","null","null","37","40","null","null","0","12","null","null","29","33","null","null","43","null","52","null","49","null","53","null","94","86","null","null","102","null","74","null","205","null","118","null","116","null","78","null","108","null","72","null","177","112","null","null","218","null","115","null",
"1500000US530330067001","Block Group 1, Census Tract 67, King County, Washington","1740","284","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","25","null","41","null","26","null","41","null","141","99","null","null","176","null","134","null","66","null","62","null","448","null","230","null","132","null","103","null","516","266","null","null","210","null","184","null",
"1500000US530330067002","Block Group 2, Census Tract 67, King County, Washington","1413","235","null","null","11","25","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","78","73","null","null","25","40","null","null","23","null","38","null","31","null","51","null","31","49","null","null","86","null","65","null","226","null","162","null","243","null","170","null","204","null","174","null","224","151","null","null","231","null","163","null",
"1500000US530330067003","Block Group 3, Census Tract 67, King County, Washington","1000","196","null","null","47","54","null","null","0","12","null","null","25","42","null","null","39","67","null","null","25","43","null","null","0","12","null","null","0","12","null","null","44","null","73","null","86","null","76","null","63","76","null","null","124","null","120","null","207","null","176","null","49","null","78","null","80","null","72","null","202","133","null","null","9","null","23","null",
"1500000US530330067004","Block Group 4, Census Tract 67, King County, Washington","962","204","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","27","43","null","null","77","90","null","null","21","36","null","null","0","null","12","null","23","null","37","null","110","98","null","null","27","null","42","null","199","null","143","null","18","null","32","null","115","null","112","null","170","106","null","null","175","null","126","null",
"1500000US530330068001","Block Group 1, Census Tract 68, King County, Washington","630","88","null","null","7","12","null","null","0","12","null","null","8","14","null","null","31","40","null","null","0","12","null","null","8","13","null","null","36","45","null","null","0","null","12","null","0","null","12","null","52","32","null","null","38","null","32","null","120","null","78","null","45","null","31","null","36","null","30","null","77","39","null","null","172","null","51","null",
"1500000US530330068002","Block Group 2, Census Tract 68, King County, Washington","812","70","null","null","13","16","null","null","11","17","null","null","0","12","null","null","0","12","null","null","8","12","null","null","24","23","null","null","30","29","null","null","8","null","12","null","0","null","12","null","62","47","null","null","95","null","47","null","93","null","46","null","113","null","55","null","100","null","38","null","79","44","null","null","176","null","62","null",
"1500000US530330069001","Block Group 1, Census Tract 69, King County, Washington","568","74","null","null","20","31","null","null","0","12","null","null","0","12","null","null","36","41","null","null","0","12","null","null","0","12","null","null","30","35","null","null","0","null","12","null","0","null","12","null","40","43","null","null","16","null","25","null","101","null","60","null","20","null","31","null","48","null","43","null","64","53","null","null","193","null","78","null",
"1500000US530330069002","Block Group 2, Census Tract 69, King County, Washington","568","94","null","null","20","31","null","null","16","26","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","0","12","null","null","19","null","31","null","26","null","31","null","16","25","null","null","12","null","19","null","73","null","55","null","27","null","33","null","64","null","46","null","93","69","null","null","202","null","92","null",
"1500000US530330069003","Block Group 3, Census Tract 69, King County, Washington","528","97","null","null","0","12","null","null","32","36","null","null","0","12","null","null","0","12","null","null","18","29","null","null","0","12","null","null","12","18","null","null","36","null","42","null","11","null","17","null","19","29","null","null","14","null","22","null","74","null","53","null","35","null","38","null","82","null","84","null","8","23","null","null","187","null","80","null",
