"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005M","B19001_005MA","B19001_005EA","B19001_006E","B19001_006M","B19001_006MA","B19001_006EA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013EA","B19001_013M","B19001_013MA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330302021","Block Group 1, Census Tract 302.02, King County, Washington","303","86","null","null","34","null","40","null","0","null","12","null","0","12","null","null","0","12","null","null","30","46","null","null","19","null","32","null","29","null","45","null","0","12","null","null","52","49","null","null","17","null","29","null","42","null","52","null","25","null","39","null","0","12","null","null","15","24","null","null","40","null","50","null","0","null","12","null",
"1500000US530330302022","Block Group 2, Census Tract 302.02, King County, Washington","585","125","null","null","26","null","43","null","0","null","12","null","26","40","null","null","32","51","null","null","59","64","null","null","0","null","12","null","9","null","30","null","26","39","null","null","36","53","null","null","54","null","52","null","88","null","55","null","93","null","66","null","59","60","null","null","28","44","null","null","22","null","37","null","27","null","44","null",
"1500000US530330302023","Block Group 3, Census Tract 302.02, King County, Washington","258","115","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","15","null","24","null","0","null","12","null","84","118","null","null","0","12","null","null","0","null","12","null","40","null","46","null","34","null","40","null","33","39","null","null","44","42","null","null","8","null","14","null","0","null","12","null",
"1500000US530330302024","Block Group 4, Census Tract 302.02, King County, Washington","603","149","null","null","10","null","17","null","0","null","12","null","17","29","null","null","31","49","null","null","0","12","null","null","0","null","12","null","29","null","48","null","87","97","null","null","9","16","null","null","126","null","107","null","114","null","80","null","102","null","85","null","0","12","null","null","11","19","null","null","67","null","60","null","0","null","12","null",
"1500000US530330302025","Block Group 5, Census Tract 302.02, King County, Washington","644","138","null","null","65","null","59","null","33","null","29","null","82","88","null","null","0","12","null","null","99","81","null","null","36","null","40","null","20","null","34","null","0","12","null","null","26","40","null","null","83","null","61","null","27","null","32","null","87","null","100","null","22","37","null","null","34","40","null","null","30","null","35","null","0","null","12","null",
"1500000US530330303041","Block Group 1, Census Tract 303.04, King County, Washington","726","107","null","null","15","null","18","null","0","null","12","null","0","12","null","null","29","29","null","null","21","22","null","null","63","null","54","null","22","null","23","null","6","9","null","null","8","13","null","null","22","null","25","null","50","null","37","null","102","null","62","null","147","86","null","null","85","66","null","null","105","null","49","null","51","null","36","null",
"1500000US530330303042","Block Group 2, Census Tract 303.04, King County, Washington","513","109","null","null","0","null","12","null","18","null","32","null","26","27","null","null","0","12","null","null","128","86","null","null","16","null","27","null","39","null","38","null","6","12","null","null","0","12","null","null","0","null","12","null","94","null","86","null","81","null","52","null","20","23","null","null","37","34","null","null","14","null","22","null","34","null","29","null",
"1500000US530330303051","Block Group 1, Census Tract 303.05, King County, Washington","712","123","null","null","45","null","43","null","50","null","46","null","48","38","null","null","24","38","null","null","13","21","null","null","61","null","48","null","27","null","33","null","82","74","null","null","17","27","null","null","55","null","45","null","50","null","40","null","57","null","49","null","73","62","null","null","23","36","null","null","20","null","32","null","67","null","54","null",
"1500000US530330303052","Block Group 2, Census Tract 303.05, King County, Washington","817","184","null","null","38","null","41","null","30","null","37","null","0","12","null","null","13","20","null","null","94","128","null","null","0","null","12","null","31","null","39","null","13","20","null","null","81","61","null","null","74","null","66","null","88","null","64","null","66","null","60","null","96","81","null","null","58","57","null","null","89","null","57","null","46","null","50","null",
"1500000US530330303053","Block Group 3, Census Tract 303.05, King County, Washington","569","110","null","null","0","null","12","null","0","null","12","null","11","22","null","null","0","12","null","null","28","36","null","null","0","null","12","null","13","null","20","null","31","36","null","null","17","28","null","null","76","null","79","null","78","null","57","null","122","null","99","null","93","67","null","null","62","58","null","null","38","null","45","null","0","null","12","null",
"1500000US530330303061","Block Group 1, Census Tract 303.06, King County, Washington","449","74","null","null","11","null","17","null","0","null","12","null","40","46","null","null","0","12","null","null","10","15","null","null","0","null","12","null","12","null","18","null","5","9","null","null","32","35","null","null","30","null","25","null","9","null","14","null","38","null","22","null","80","45","null","null","99","51","null","null","48","null","35","null","35","null","32","null",
"1500000US530330303062","Block Group 2, Census Tract 303.06, King County, Washington","386","69","null","null","0","null","12","null","9","null","14","null","11","16","null","null","0","12","null","null","16","25","null","null","0","null","12","null","0","null","12","null","14","21","null","null","0","12","null","null","18","null","17","null","0","null","12","null","67","null","49","null","76","40","null","null","58","36","null","null","96","null","60","null","21","null","23","null",
"1500000US530330303063","Block Group 3, Census Tract 303.06, King County, Washington","713","105","null","null","38","null","37","null","9","null","14","null","0","12","null","null","23","26","null","null","17","26","null","null","25","null","22","null","24","null","27","null","0","12","null","null","53","59","null","null","93","null","55","null","17","null","21","null","103","null","43","null","102","63","null","null","52","34","null","null","113","null","53","null","44","null","34","null",
"1500000US530330303064","Block Group 4, Census Tract 303.06, King County, Washington","367","77","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","8","12","null","null","8","null","13","null","0","null","12","null","7","10","null","null","3","7","null","null","21","null","27","null","95","null","57","null","84","null","47","null","15","17","null","null","66","41","null","null","24","null","18","null","36","null","44","null",
"1500000US530330303081","Block Group 1, Census Tract 303.08, King County, Washington","260","68","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","12","null","20","null","13","22","null","null","22","27","null","null","0","null","12","null","22","null","32","null","48","null","44","null","6","15","null","null","61","47","null","null","55","null","54","null","21","null","33","null",
"1500000US530330303082","Block Group 2, Census Tract 303.08, King County, Washington","624","131","null","null","10","null","17","null","0","null","12","null","71","77","null","null","0","12","null","null","18","29","null","null","0","null","12","null","9","null","14","null","12","27","null","null","78","66","null","null","99","null","75","null","118","null","102","null","110","null","58","null","49","42","null","null","37","44","null","null","0","null","12","null","13","null","21","null",
"1500000US530330303083","Block Group 3, Census Tract 303.08, King County, Washington","592","99","null","null","0","null","12","null","11","null","17","null","0","12","null","null","14","21","null","null","9","16","null","null","0","null","12","null","38","null","45","null","60","71","null","null","0","12","null","null","66","null","53","null","0","null","12","null","47","null","44","null","92","65","null","null","98","84","null","null","50","null","48","null","107","null","65","null",
"1500000US530330303084","Block Group 4, Census Tract 303.08, King County, Washington","797","165","null","null","25","null","38","null","8","null","18","null","46","75","null","null","51","84","null","null","19","31","null","null","34","null","38","null","92","null","92","null","49","77","null","null","17","26","null","null","73","null","60","null","156","null","124","null","81","null","57","null","61","42","null","null","45","52","null","null","17","null","27","null","23","null","40","null",
"1500000US530330303091","Block Group 1, Census Tract 303.09, King County, Washington","377","115","null","null","18","null","27","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","19","null","33","null","0","12","null","null","0","12","null","null","0","null","12","null","59","null","66","null","56","null","63","null","20","31","null","null","54","47","null","null","103","null","69","null","48","null","56","null",
"1500000US530330303092","Block Group 2, Census Tract 303.09, King County, Washington","591","157","null","null","19","null","32","null","0","null","12","null","28","38","null","null","12","21","null","null","62","57","null","null","0","null","12","null","37","null","42","null","40","52","null","null","0","12","null","null","73","null","114","null","172","null","112","null","88","null","79","null","17","29","null","null","43","67","null","null","0","null","12","null","0","null","12","null",
"1500000US530330303093","Block Group 3, Census Tract 303.09, King County, Washington","478","122","null","null","45","null","49","null","0","null","12","null","0","12","null","null","16","26","null","null","34","38","null","null","79","null","88","null","48","null","56","null","21","33","null","null","43","49","null","null","36","null","42","null","12","null","23","null","0","null","12","null","37","42","null","null","44","54","null","null","34","null","55","null","29","null","41","null",
"1500000US530330303094","Block Group 4, Census Tract 303.09, King County, Washington","1009","197","null","null","0","null","12","null","65","null","73","null","67","82","null","null","0","12","null","null","25","41","null","null","89","null","89","null","0","null","12","null","51","80","null","null","27","41","null","null","153","null","117","null","99","null","93","null","166","null","108","null","54","53","null","null","117","110","null","null","60","null","60","null","36","null","31","null",
"1500000US530330303101","Block Group 1, Census Tract 303.10, King County, Washington","264","76","null","null","7","null","12","null","0","null","12","null","7","12","null","null","0","12","null","null","0","12","null","null","23","null","41","null","5","null","10","null","15","16","null","null","9","15","null","null","57","null","42","null","51","null","50","null","38","null","27","null","18","18","null","null","6","10","null","null","13","null","20","null","15","null","23","null",
"1500000US530330303102","Block Group 2, Census Tract 303.10, King County, Washington","311","53","null","null","18","null","19","null","0","null","12","null","0","12","null","null","13","15","null","null","8","12","null","null","0","null","12","null","18","null","27","null","23","23","null","null","5","10","null","null","6","null","11","null","0","null","12","null","36","null","30","null","15","18","null","null","41","35","null","null","89","null","56","null","39","null","30","null",
"1500000US530330303103","Block Group 3, Census Tract 303.10, King County, Washington","582","89","null","null","0","null","12","null","0","null","12","null","9","15","null","null","0","12","null","null","10","14","null","null","0","null","12","null","0","null","12","null","23","26","null","null","9","14","null","null","54","null","45","null","20","null","22","null","192","null","85","null","47","37","null","null","138","85","null","null","24","null","20","null","56","null","37","null",
