"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_001MA","B19001_001EA","B19001_002E","B19001_002M","B19001_002MA","B19001_002EA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004M","B19001_004MA","B19001_004EA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007M","B19001_007MA","B19001_007EA","B19001_008E","B19001_008M","B19001_008MA","B19001_008EA","B19001_009E","B19001_009M","B19001_009MA","B19001_009EA","B19001_010E","B19001_010EA","B19001_010M","B19001_010MA","B19001_011E","B19001_011EA","B19001_011M","B19001_011MA","B19001_012E","B19001_012M","B19001_012MA","B19001_012EA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014M","B19001_014MA","B19001_014EA","B19001_015E","B19001_015EA","B19001_015M","B19001_015MA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330204024","Block Group 4, Census Tract 204.02, King County, Washington","358","61","null","null","12","20","null","null","0","null","12","null","16","28","null","null","11","null","18","null","0","null","12","null","14","22","null","null","16","26","null","null","0","12","null","null","0","null","12","null","0","null","12","null","49","47","null","null","41","37","null","null","10","17","null","null","73","null","45","null","67","null","52","null","49","null","39","null",
"1500000US530330204025","Block Group 5, Census Tract 204.02, King County, Washington","569","124","null","null","32","34","null","null","37","null","45","null","13","21","null","null","60","null","72","null","0","null","12","null","38","61","null","null","18","29","null","null","11","18","null","null","16","null","26","null","73","null","72","null","113","102","null","null","68","51","null","null","0","12","null","null","27","null","32","null","48","null","43","null","15","null","24","null",
"1500000US530330205001","Block Group 1, Census Tract 205, King County, Washington","756","123","null","null","52","48","null","null","50","null","46","null","67","51","null","null","80","null","83","null","14","null","21","null","10","15","null","null","18","27","null","null","16","25","null","null","0","null","12","null","79","null","52","null","55","41","null","null","91","85","null","null","114","60","null","null","56","null","55","null","29","null","34","null","25","null","29","null",
"1500000US530330205002","Block Group 2, Census Tract 205, King County, Washington","544","121","null","null","112","93","null","null","0","null","12","null","60","74","null","null","57","null","90","null","0","null","12","null","46","35","null","null","16","25","null","null","54","32","null","null","0","null","12","null","17","null","26","null","17","27","null","null","58","41","null","null","54","47","null","null","34","null","29","null","19","null","29","null","0","null","12","null",
"1500000US530330205003","Block Group 3, Census Tract 205, King County, Washington","422","93","null","null","34","39","null","null","0","null","12","null","16","25","null","null","0","null","12","null","0","null","12","null","17","27","null","null","26","31","null","null","0","12","null","null","34","null","37","null","50","null","78","null","29","35","null","null","96","56","null","null","55","42","null","null","26","null","29","null","39","null","42","null","0","null","12","null",
"1500000US530330205004","Block Group 4, Census Tract 205, King County, Washington","271","66","null","null","0","12","null","null","18","null","29","null","14","22","null","null","0","null","12","null","12","null","19","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","37","null","42","null","10","16","null","null","76","53","null","null","87","54","null","null","0","null","12","null","17","null","26","null","0","null","12","null",
"1500000US530330205005","Block Group 5, Census Tract 205, King County, Washington","393","97","null","null","0","12","null","null","16","null","27","null","0","12","null","null","38","null","43","null","0","null","12","null","0","12","null","null","15","24","null","null","31","36","null","null","14","null","24","null","16","null","26","null","86","70","null","null","96","87","null","null","29","33","null","null","28","null","33","null","24","null","32","null","0","null","12","null",
"1500000US530330205006","Block Group 6, Census Tract 205, King County, Washington","318","76","null","null","14","23","null","null","17","null","26","null","27","31","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","12","null","null","0","null","12","null","32","null","37","null","32","36","null","null","50","54","null","null","120","67","null","null","0","null","12","null","26","null","32","null","0","null","12","null",
"1500000US530330206001","Block Group 1, Census Tract 206, King County, Washington","303","49","null","null","7","12","null","null","20","null","28","null","8","13","null","null","0","null","12","null","7","null","12","null","8","12","null","null","8","14","null","null","8","12","null","null","16","null","19","null","8","null","12","null","26","24","null","null","6","12","null","null","53","29","null","null","42","null","25","null","15","null","17","null","71","null","48","null",
"1500000US530330206002","Block Group 2, Census Tract 206, King County, Washington","327","76","null","null","35","36","null","null","9","null","15","null","0","12","null","null","16","null","17","null","47","null","52","null","17","19","null","null","14","15","null","null","8","15","null","null","9","null","15","null","24","null","22","null","17","19","null","null","36","29","null","null","21","21","null","null","32","null","23","null","24","null","23","null","18","null","19","null",
"1500000US530330206003","Block Group 3, Census Tract 206, King County, Washington","315","53","null","null","36","50","null","null","0","null","12","null","20","25","null","null","8","null","13","null","8","null","14","null","18","19","null","null","0","12","null","null","16","17","null","null","38","null","36","null","0","null","12","null","41","41","null","null","9","16","null","null","59","33","null","null","29","null","23","null","17","null","19","null","16","null","17","null",
"1500000US530330206004","Block Group 4, Census Tract 206, King County, Washington","355","65","null","null","9","15","null","null","0","null","12","null","0","12","null","null","0","null","12","null","7","null","11","null","44","38","null","null","0","12","null","null","0","12","null","null","27","null","42","null","41","null","42","null","42","44","null","null","80","54","null","null","62","35","null","null","18","null","20","null","17","null","14","null","8","null","12","null",
"1500000US530330207001","Block Group 1, Census Tract 207, King County, Washington","477","71","null","null","32","28","null","null","27","null","25","null","37","30","null","null","10","null","15","null","27","null","25","null","20","23","null","null","6","10","null","null","15","17","null","null","10","null","15","null","60","null","41","null","53","40","null","null","45","30","null","null","87","61","null","null","30","null","48","null","18","null","19","null","0","null","12","null",
"1500000US530330207002","Block Group 2, Census Tract 207, King County, Washington","569","84","null","null","53","34","null","null","83","null","51","null","18","20","null","null","21","null","25","null","21","null","21","null","53","52","null","null","0","12","null","null","0","12","null","null","14","null","18","null","29","null","34","null","44","33","null","null","102","77","null","null","70","43","null","null","25","null","27","null","36","null","25","null","0","null","12","null",
"1500000US530330207003","Block Group 3, Census Tract 207, King County, Washington","458","83","null","null","40","52","null","null","0","null","12","null","38","57","null","null","21","null","24","null","0","null","12","null","0","12","null","null","8","14","null","null","9","14","null","null","40","null","47","null","17","null","18","null","66","47","null","null","65","44","null","null","36","25","null","null","66","null","42","null","42","null","31","null","10","null","15","null",
"1500000US530330208001","Block Group 1, Census Tract 208, King County, Washington","585","84","null","null","48","28","null","null","30","null","26","null","21","24","null","null","39","null","26","null","55","null","61","null","9","13","null","null","48","37","null","null","16","18","null","null","0","null","12","null","11","null","17","null","52","34","null","null","72","61","null","null","44","27","null","null","36","null","28","null","44","null","29","null","60","null","52","null",
"1500000US530330208002","Block Group 2, Census Tract 208, King County, Washington","526","74","null","null","20","22","null","null","0","null","12","null","0","12","null","null","8","null","13","null","0","null","12","null","0","12","null","null","9","15","null","null","0","12","null","null","8","null","12","null","28","null","26","null","139","83","null","null","55","43","null","null","73","35","null","null","81","null","37","null","80","null","48","null","25","null","24","null",
"1500000US530330208003","Block Group 3, Census Tract 208, King County, Washington","329","39","null","null","31","23","null","null","0","null","12","null","0","12","null","null","0","null","12","null","8","null","12","null","0","12","null","null","8","12","null","null","0","12","null","null","9","null","14","null","0","null","12","null","24","21","null","null","42","36","null","null","44","24","null","null","57","null","30","null","32","null","25","null","74","null","33","null",
"1500000US530330208004","Block Group 4, Census Tract 208, King County, Washington","332","47","null","null","0","12","null","null","0","null","12","null","11","17","null","null","0","null","12","null","9","null","14","null","18","20","null","null","0","12","null","null","0","12","null","null","24","null","24","null","9","null","13","null","46","34","null","null","37","30","null","null","54","35","null","null","7","null","11","null","33","null","27","null","84","null","38","null",
