"GEO_ID","NAME","B19001_001E","B19001_001EA","B19001_001M","B19001_001MA","B19001_002E","B19001_002EA","B19001_002M","B19001_002MA","B19001_003E","B19001_003EA","B19001_003M","B19001_003MA","B19001_004E","B19001_004EA","B19001_004M","B19001_004MA","B19001_005E","B19001_005EA","B19001_005M","B19001_005MA","B19001_006E","B19001_006EA","B19001_006M","B19001_006MA","B19001_007E","B19001_007EA","B19001_007M","B19001_007MA","B19001_008E","B19001_008EA","B19001_008M","B19001_008MA","B19001_009E","B19001_009EA","B19001_009M","B19001_009MA","B19001_010E","B19001_010M","B19001_010MA","B19001_010EA","B19001_011E","B19001_011M","B19001_011MA","B19001_011EA","B19001_012E","B19001_012EA","B19001_012M","B19001_012MA","B19001_013E","B19001_013M","B19001_013MA","B19001_013EA","B19001_014E","B19001_014EA","B19001_014M","B19001_014MA","B19001_015E","B19001_015M","B19001_015MA","B19001_015EA","B19001_016E","B19001_016EA","B19001_016M","B19001_016MA","B19001_017E","B19001_017EA","B19001_017M","B19001_017MA",
"1500000US530330321024","Block Group 4, Census Tract 321.02, King County, Washington","512","null","69","null","0","null","12","null","0","null","12","null","0","null","12","null","10","null","16","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","19","22","null","null","32","43","null","null","26","null","24","null","125","50","null","null","54","null","37","null","70","40","null","null","95","null","48","null","81","null","46","null",
"1500000US530330321031","Block Group 1, Census Tract 321.03, King County, Washington","366","null","102","null","0","null","12","null","0","null","12","null","31","null","25","null","29","null","30","null","0","null","12","null","0","null","12","null","13","null","20","null","0","null","12","null","0","12","null","null","0","12","null","null","23","null","23","null","86","57","null","null","124","null","98","null","11","15","null","null","11","null","18","null","38","null","40","null",
"1500000US530330321032","Block Group 2, Census Tract 321.03, King County, Washington","418","null","89","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","8","null","13","null","30","null","36","null","32","null","30","null","26","null","31","null","38","61","null","null","77","49","null","null","9","null","14","null","51","41","null","null","59","null","41","null","0","12","null","null","10","null","12","null","78","null","58","null",
"1500000US530330321033","Block Group 3, Census Tract 321.03, King County, Washington","726","null","133","null","44","null","57","null","64","null","86","null","51","null","57","null","13","null","21","null","32","null","31","null","65","null","55","null","8","null","14","null","67","null","82","null","40","45","null","null","105","103","null","null","85","null","52","null","34","34","null","null","40","null","40","null","34","38","null","null","16","null","23","null","28","null","23","null",
"1500000US530330321034","Block Group 4, Census Tract 321.03, King County, Washington","522","null","98","null","5","null","8","null","0","null","12","null","43","null","67","null","0","null","12","null","0","null","12","null","12","null","20","null","8","null","13","null","14","null","21","null","28","30","null","null","52","36","null","null","91","null","52","null","69","49","null","null","6","null","9","null","31","25","null","null","68","null","47","null","95","null","55","null",
"1500000US530330321041","Block Group 1, Census Tract 321.04, King County, Washington","825","null","139","null","0","null","12","null","13","null","21","null","17","null","28","null","0","null","12","null","0","null","12","null","16","null","26","null","38","null","43","null","12","null","19","null","35","38","null","null","14","23","null","null","99","null","72","null","51","46","null","null","137","null","72","null","38","35","null","null","109","null","58","null","246","null","91","null",
"1500000US530330321042","Block Group 2, Census Tract 321.04, King County, Washington","930","null","160","null","97","null","79","null","84","null","86","null","17","null","29","null","17","null","28","null","0","null","12","null","12","null","20","null","16","null","25","null","30","null","33","null","22","35","null","null","11","19","null","null","64","null","79","null","135","85","null","null","107","null","66","null","140","137","null","null","109","null","58","null","69","null","85","null",
"1500000US530330321043","Block Group 3, Census Tract 321.04, King County, Washington","721","null","141","null","72","null","87","null","14","null","25","null","0","null","12","null","0","null","12","null","15","null","25","null","52","null","80","null","83","null","65","null","0","null","12","null","6","13","null","null","51","46","null","null","190","null","100","null","81","70","null","null","30","null","38","null","47","41","null","null","80","null","71","null","0","null","12","null",
"1500000US530330322031","Block Group 1, Census Tract 322.03, King County, Washington","644","null","91","null","0","null","12","null","27","null","32","null","0","null","12","null","31","null","36","null","0","null","12","null","12","null","19","null","23","null","34","null","0","null","12","null","12","18","null","null","10","17","null","null","39","null","44","null","86","64","null","null","177","null","102","null","88","54","null","null","72","null","50","null","67","null","50","null",
"1500000US530330322032","Block Group 2, Census Tract 322.03, King County, Washington","484","null","98","null","16","null","24","null","0","null","12","null","0","null","12","null","0","null","12","null","23","null","35","null","23","null","35","null","23","null","26","null","0","null","12","null","0","12","null","null","48","74","null","null","60","null","53","null","22","26","null","null","75","null","53","null","54","50","null","null","93","null","89","null","47","null","38","null",
"1500000US530330322033","Block Group 3, Census Tract 322.03, King County, Washington","973","null","120","null","18","null","30","null","24","null","30","null","0","null","12","null","7","null","14","null","10","null","18","null","0","null","12","null","19","null","29","null","0","null","12","null","0","12","null","null","0","12","null","null","9","null","14","null","119","86","null","null","95","null","59","null","63","50","null","null","158","null","86","null","451","null","124","null",
"1500000US530330322034","Block Group 4, Census Tract 322.03, King County, Washington","498","null","109","null","15","null","24","null","0","null","12","null","33","null","37","null","0","null","12","null","0","null","12","null","20","null","31","null","0","null","12","null","12","null","20","null","0","12","null","null","0","12","null","null","25","null","31","null","85","90","null","null","87","null","60","null","33","37","null","null","42","null","38","null","146","null","87","null",
"1500000US530330322071","Block Group 1, Census Tract 322.07, King County, Washington","381","null","62","null","9","null","14","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","12","19","null","null","17","20","null","null","8","null","13","null","84","47","null","null","0","null","12","null","51","44","null","null","61","null","37","null","139","null","53","null",
"1500000US530330322072","Block Group 2, Census Tract 322.07, King County, Washington","316","null","42","null","0","null","12","null","8","null","13","null","0","null","12","null","0","null","12","null","19","null","21","null","7","null","11","null","8","null","14","null","0","null","12","null","0","12","null","null","0","12","null","null","29","null","21","null","34","27","null","null","7","null","11","null","35","48","null","null","64","null","39","null","105","null","45","null",
"1500000US530330322073","Block Group 3, Census Tract 322.07, King County, Washington","454","null","70","null","15","null","16","null","11","null","16","null","10","null","15","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","7","null","11","null","8","13","null","null","20","19","null","null","53","null","34","null","58","40","null","null","55","null","47","null","37","34","null","null","63","null","31","null","117","null","51","null",
"1500000US530330322081","Block Group 1, Census Tract 322.08, King County, Washington","649","null","104","null","41","null","66","null","30","null","33","null","31","null","25","null","34","null","57","null","15","null","24","null","11","null","19","null","27","null","30","null","31","null","35","null","16","25","null","null","0","12","null","null","85","null","77","null","25","28","null","null","52","null","45","null","56","39","null","null","78","null","50","null","117","null","52","null",
"1500000US530330322082","Block Group 2, Census Tract 322.08, King County, Washington","599","null","99","null","0","null","12","null","16","null","27","null","60","null","50","null","115","null","82","null","60","null","41","null","89","null","59","null","81","null","49","null","11","null","18","null","13","21","null","null","45","43","null","null","30","null","34","null","14","23","null","null","13","null","20","null","11","18","null","null","41","null","37","null","0","null","12","null",
"1500000US530330322083","Block Group 3, Census Tract 322.08, King County, Washington","1093","null","146","null","133","null","104","null","0","null","12","null","14","null","23","null","25","null","29","null","46","null","43","null","16","null","25","null","85","null","75","null","15","null","24","null","29","32","null","null","58","48","null","null","124","null","103","null","170","109","null","null","129","null","68","null","77","54","null","null","61","null","43","null","111","null","75","null",
"1500000US530330322084","Block Group 4, Census Tract 322.08, King County, Washington","864","null","158","null","28","null","32","null","15","null","25","null","0","null","12","null","0","null","12","null","0","null","12","null","12","null","18","null","0","null","12","null","31","null","34","null","45","44","null","null","59","46","null","null","160","null","119","null","235","129","null","null","46","null","39","null","30","37","null","null","54","null","44","null","149","null","89","null",
"1500000US530330322085","Block Group 5, Census Tract 322.08, King County, Washington","851","null","109","null","0","null","12","null","0","null","12","null","0","null","12","null","0","null","12","null","44","null","43","null","0","null","12","null","14","null","22","null","44","null","41","null","29","32","null","null","0","12","null","null","88","null","60","null","84","51","null","null","156","null","102","null","99","80","null","null","54","null","47","null","239","null","76","null",
