"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330103002","Block Group 2, Census Tract 103, King County, Washington","1237","330","null","null","434","157","null","null","145","139","null","null","0","12","null","null","556","null","318","null","0","12","null","null","0","12","null","null","102","67","null","null","0","12","null","null","102","null","67","null",
"1500000US530330103003","Block Group 3, Census Tract 103, King County, Washington","1512","441","null","null","89","57","null","null","848","493","null","null","11","18","null","null","517","null","387","null","0","12","null","null","0","12","null","null","47","60","null","null","0","12","null","null","47","null","60","null",
"1500000US530330103004","Block Group 4, Census Tract 103, King County, Washington","1222","407","null","null","186","122","null","null","341","220","null","null","15","25","null","null","588","null","458","null","0","12","null","null","46","72","null","null","46","45","null","null","0","12","null","null","46","null","45","null",
"1500000US530330103005","Block Group 5, Census Tract 103, King County, Washington","1171","317","null","null","766","247","null","null","196","122","null","null","44","73","null","null","125","null","153","null","0","12","null","null","0","12","null","null","40","46","null","null","0","12","null","null","40","null","46","null",
"1500000US530330104011","Block Group 1, Census Tract 104.01, King County, Washington","1269","288","null","null","310","128","null","null","105","117","null","null","0","12","null","null","779","null","304","null","0","12","null","null","0","12","null","null","75","79","null","null","0","12","null","null","75","null","79","null",
"1500000US530330104012","Block Group 2, Census Tract 104.01, King County, Washington","2169","543","null","null","499","209","null","null","550","256","null","null","40","50","null","null","818","null","285","null","0","12","null","null","51","66","null","null","211","245","null","null","0","12","null","null","211","null","245","null",
"1500000US530330104013","Block Group 3, Census Tract 104.01, King County, Washington","1472","399","null","null","116","84","null","null","37","63","null","null","0","12","null","null","1286","null","397","null","0","12","null","null","0","12","null","null","33","45","null","null","0","12","null","null","33","null","45","null",
"1500000US530330104021","Block Group 1, Census Tract 104.02, King County, Washington","921","276","null","null","320","176","null","null","63","89","null","null","10","16","null","null","462","null","237","null","0","12","null","null","31","51","null","null","35","36","null","null","0","12","null","null","35","null","36","null",
"1500000US530330104022","Block Group 2, Census Tract 104.02, King County, Washington","1084","347","null","null","269","124","null","null","245","172","null","null","0","12","null","null","434","null","224","null","0","12","null","null","53","65","null","null","83","68","null","null","0","12","null","null","83","null","68","null",
"1500000US530330104023","Block Group 3, Census Tract 104.02, King County, Washington","1515","597","null","null","72","58","null","null","131","133","null","null","0","12","null","null","1183","null","544","null","0","12","null","null","101","159","null","null","28","30","null","null","21","28","null","null","7","null","13","null",
"1500000US530330104024","Block Group 4, Census Tract 104.02, King County, Washington","1494","434","null","null","557","305","null","null","122","172","null","null","0","12","null","null","703","null","285","null","0","12","null","null","76","118","null","null","36","50","null","null","0","12","null","null","36","null","50","null",
