"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1500000US530330010002","Block Group 2, Census Tract 10, King County, Washington","1021","null","135","null","753","135","null","null","56","42","null","null","0","12","null","null","96","40","null","null","0","null","12","null","0","null","12","null","116","54","null","null","0","12","null","null","116","54","null","null",
"1500000US530330011001","Block Group 1, Census Tract 11, King County, Washington","1349","null","261","null","880","239","null","null","78","105","null","null","0","12","null","null","255","171","null","null","0","null","12","null","0","null","12","null","136","104","null","null","0","12","null","null","136","104","null","null",
"1500000US530330011002","Block Group 2, Census Tract 11, King County, Washington","1380","null","269","null","1070","254","null","null","44","49","null","null","0","12","null","null","118","86","null","null","0","null","12","null","50","null","51","null","98","59","null","null","7","12","null","null","91","52","null","null",
"1500000US530330012001","Block Group 1, Census Tract 12, King County, Washington","1209","null","324","null","824","183","null","null","18","29","null","null","0","12","null","null","208","190","null","null","0","null","12","null","46","null","75","null","113","96","null","null","0","12","null","null","113","96","null","null",
"1500000US530330012002","Block Group 2, Census Tract 12, King County, Washington","779","null","233","null","455","163","null","null","52","81","null","null","30","53","null","null","124","127","null","null","0","null","12","null","74","null","99","null","44","54","null","null","33","51","null","null","11","18","null","null",
"1500000US530330012003","Block Group 3, Census Tract 12, King County, Washington","1875","null","302","null","1139","309","null","null","368","296","null","null","0","12","null","null","331","208","null","null","0","null","12","null","0","null","12","null","37","48","null","null","0","12","null","null","37","48","null","null",
"1500000US530330012004","Block Group 4, Census Tract 12, King County, Washington","1833","null","445","null","1048","423","null","null","0","12","null","null","0","12","null","null","504","272","null","null","0","null","12","null","212","null","144","null","69","78","null","null","0","12","null","null","69","78","null","null",
"1500000US530330012005","Block Group 5, Census Tract 12, King County, Washington","1254","null","280","null","869","283","null","null","87","102","null","null","0","12","null","null","119","90","null","null","0","null","12","null","49","null","71","null","130","89","null","null","0","12","null","null","130","89","null","null",
"1500000US530330013001","Block Group 1, Census Tract 13, King County, Washington","1622","null","265","null","1029","221","null","null","61","78","null","null","0","12","null","null","405","168","null","null","0","null","12","null","17","null","27","null","110","86","null","null","0","12","null","null","110","86","null","null",
"1500000US530330013002","Block Group 2, Census Tract 13, King County, Washington","1234","null","312","null","896","280","null","null","28","33","null","null","0","12","null","null","263","144","null","null","0","null","12","null","0","null","12","null","47","44","null","null","0","12","null","null","47","44","null","null",
"1500000US530330013003","Block Group 3, Census Tract 13, King County, Washington","1507","null","288","null","950","222","null","null","146","98","null","null","0","12","null","null","299","205","null","null","0","null","12","null","15","null","22","null","97","69","null","null","0","12","null","null","97","69","null","null",
"1500000US530330014001","Block Group 1, Census Tract 14, King County, Washington","1525","null","404","null","1101","375","null","null","0","12","null","null","0","12","null","null","108","83","null","null","0","null","12","null","0","null","12","null","316","379","null","null","0","12","null","null","316","379","null","null",
"1500000US530330014002","Block Group 2, Census Tract 14, King County, Washington","1221","null","393","null","1004","388","null","null","0","12","null","null","16","31","null","null","84","54","null","null","0","null","12","null","6","null","14","null","111","116","null","null","0","12","null","null","111","116","null","null",
"1500000US530330014003","Block Group 3, Census Tract 14, King County, Washington","1411","null","315","null","1037","225","null","null","0","12","null","null","20","31","null","null","189","212","null","null","0","null","12","null","81","null","108","null","84","98","null","null","0","12","null","null","84","98","null","null",
"1500000US530330014004","Block Group 4, Census Tract 14, King County, Washington","1546","null","192","null","1377","196","null","null","0","12","null","null","17","27","null","null","118","110","null","null","0","null","12","null","12","null","19","null","22","36","null","null","0","12","null","null","22","36","null","null",
"1500000US530330015001","Block Group 1, Census Tract 15, King County, Washington","1236","null","239","null","1197","243","null","null","0","12","null","null","0","12","null","null","12","21","null","null","0","null","12","null","0","null","12","null","27","35","null","null","0","12","null","null","27","35","null","null",
